address,bathrooms,country,detailedType_typology,detailedType_subTypology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,hasParkingSpace,parkingSpaceIncluded,parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts_subtitle,suggestedTexts_title,thumbnail,url,geopoint
"calle de Martín de los Heros, Madrid",1,es,flat,,1468,Moncloa,True,03868,2,False,False,True,True,True,40.4277429,-3.7135868,Madrid,Argüelles,False,21,rent,,,,1350.0,18.0,8.3169893E7,flat,Madrid,4,False,74.0,good,"Argüelles, Madrid","Piso en calle de Martín de los Heros, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/9b/3f/612669792.jpg,https://www.idealista.com/inmueble/83169893/,POINT(-3.7135868 40.4277429)
lagasca,1,es,flat,,1968,Salamanca,True,03937,7,False,False,True,True,True,40.427378,-3.6856629,Madrid,Recoletos,False,26,rent,True,True,,1900.0,35.0,8.3209734E7,flat,Madrid,2,False,55.0,good,"Recoletos, Madrid",Piso en lagasca,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/6e/e0/613556535.jpg,https://www.idealista.com/inmueble/83209734/,POINT(-3.6856629 40.427378)
"calle de Ramos Carrión, Madrid",2,es,flat,,4600,Chamartín,True,03600,2,False,False,True,True,True,40.4477139,-3.668243,Madrid,Prosperidad,False,24,rent,,,,1500.0,13.0,8.2983156E7,flat,Madrid,2,False,115.0,good,"Prosperidad, Madrid","Piso en calle de Ramos Carrión, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/6e/38/609177054.jpg,https://www.idealista.com/inmueble/82983156/,POINT(-3.668243 40.4477139)
camino DE SANTIAGO,1,es,flat,,9003,Fuencarral,True,03735,2,False,False,True,True,True,40.4945792,-3.6752164,Madrid,Las Tablas,False,23,rent,True,True,,1200.0,17.0,8.3058472E7,flat,Madrid,2,False,70.0,good,"Las Tablas, Madrid",Piso en camino DE SANTIAGO,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/5c/31/610732982.jpg,https://www.idealista.com/inmueble/83058472/,POINT(-3.6752164 40.4945792)
"calle Columela, Madrid",2,es,flat,,1625,Salamanca,True,MS-00068,2,False,False,True,True,False,40.419468,-3.6853131,Madrid,Recoletos,False,35,rent,,,,2950.0,13.0,8.3346394E7,flat,Madrid,4,False,230.0,good,"Recoletos, Madrid","Piso en calle Columela, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/05/cd/616237808.jpg,https://www.idealista.com/inmueble/83346394/,POINT(-3.6853131 40.419468)
"calle Fuente del Saz, Madrid",1,es,flat,,4757,Chamartín,False,VFS5,2,False,False,False,True,False,40.4546328,-3.6782559,Madrid,Bernabéu-Hispanoamérica,False,20,rent,,,,1080.0,16.0,8.3409397E7,flat,Madrid,2,False,67.0,good,"Bernabéu-Hispanoamérica, Madrid","Piso en calle Fuente del Saz, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/a5/56/617447349.jpg,https://www.idealista.com/inmueble/83409397/,POINT(-3.6782559 40.4546328)
"calle del Conde de la Cimera, Madrid",2,es,flat,,3516,Moncloa,True,CCC48,8,False,False,True,True,False,40.4475155,-3.7132492,Madrid,Ciudad Universitaria,False,23,rent,True,True,,2000.0,13.0,8.3407113E7,flat,Madrid,2,False,150.0,good,"Ciudad Universitaria, Madrid","Piso en calle del Conde de la Cimera, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/fa/9f/617400163.jpg,https://www.idealista.com/inmueble/83407113/,POINT(-3.7132492 40.4475155)
"calle Infante , Madrid",1,es,flat,,691,Centro,True,03768,2,False,False,True,True,True,40.4132923,-3.6972872,Madrid,Huertas-Cortes,False,27,rent,,,,1100.0,16.0,8.3109657E7,flat,Madrid,1,False,70.0,good,"Huertas-Cortes, Madrid","Piso en calle Infante , Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/90/15/611776657.jpg,https://www.idealista.com/inmueble/83109657/,POINT(-3.6972872 40.4132923)
calle de García de Paredes,2,es,flat,,2446,Chamberí,False,102949,2,False,False,True,True,True,40.4377821,-3.6960698,Madrid,Almagro,False,25,rent,,,,1850.0,20.0,8.2973566E7,flat,Madrid,3,False,93.0,good,"Almagro, Madrid",Piso en calle de García de Paredes,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/ed/e6/608974959.jpg,https://www.idealista.com/inmueble/82973566/,POINT(-3.6960698 40.4377821)
pelayo,2,es,flat,penthouse,907,Centro,True,03940,2,False,False,True,True,True,40.4227232,-3.6969858,Madrid,Chueca-Justicia,False,26,rent,,,,2000.0,12.0,8.3230088E7,penthouse,Madrid,4,False,170.0,good,"Chueca-Justicia, Madrid",Ático en pelayo,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/df/8e/ef/613998958.jpg,https://www.idealista.com/inmueble/83230088/,POINT(-3.6969858 40.4227232)
