address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
barrio Bellas Vistas,2,es,"{'typology': 'flat', 'subTypology': 'duplex'}",3900,Tetuán,True,A080,3,False,False,True,False,False,40.4517271,-3.7049846,Madrid,Bellas Vistas,False,17,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 51.0}",999.0,14.0,82494362,duplex,Madrid,2,False,69.0,good,"{'subtitle': 'Bellas Vistas, Madrid', 'title': 'Dúplex'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/3c/16/574812833.jpg,https://www.idealista.com/inmueble/82494362/
"lagasca, 19",2,es,{'typology': 'flat'},1713,Salamanca,True,Lagasca XXVII,5,False,False,True,False,False,40.4231721,-3.6858177,Madrid,Recoletos,False,30,rent,,5985.0,29.0,81638898,flat,Madrid,3,True,209.0,good,"{'subtitle': 'Recoletos, Madrid', 'title': 'Piso en lagasca, 19'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/50/0a/581361639.jpg,https://www.idealista.com/inmueble/81638898/
"calle del General Díaz Porlier, Madrid",2,es,{'typology': 'flat'},2640,Salamanca,True,,1,False,False,True,False,False,40.4278033,-3.6766182,Madrid,Lista,False,25,rent,,1900.0,17.0,82985828,flat,Madrid,3,False,111.0,good,"{'subtitle': 'Lista, Madrid', 'title': 'Piso en calle del General Díaz Porlier, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/c4/f6/609771027.jpg,https://www.idealista.com/inmueble/82985828/
calle de Godella,1,es,{'typology': 'flat'},8202,Villaverde,False,235-VI-000-030-687-145,,False,False,False,False,False,40.3438294,-3.6887233,Madrid,San Cristóbal,False,13,rent,,460.0,7.0,81666930,flat,Madrid,3,False,65.0,good,"{'subtitle': 'San Cristóbal, Madrid', 'title': 'Piso en calle de Godella'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/09/9f/581928103.jpg,https://www.idealista.com/inmueble/81666930/
barrio Quintana,1,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",5943,Ciudad Lineal,True,J 1581,3,False,False,True,False,False,40.4403953,-3.6412433,Madrid,Quintana,False,17,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 150.0}",1350.0,13.0,83276773,penthouse,Madrid,1,False,105.0,good,"{'subtitle': 'Quintana, Madrid', 'title': 'Ático'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/6a/0e/614869174.jpg,https://www.idealista.com/inmueble/83276773/
barrio San Cristóbal,1,es,{'typology': 'flat'},8422,Villaverde,False,VI-000-030-687-145,,False,False,,False,False,40.3419817,-3.6874372,Madrid,San Cristóbal,False,14,rent,,460.0,7.0,40286539,flat,Madrid,3,False,65.0,good,"{'subtitle': 'San Cristóbal, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/26/64/277312525.jpg,https://www.idealista.com/inmueble/40286539/
"MARQUES DE LA ENSENADA, 16",1,es,{'typology': 'flat'},1402,Centro,True,4055,11,False,False,True,False,False,40.4252675,-3.6920496,Madrid,Chueca-Justicia,False,8,rent,,1850.0,21.0,37117160,flat,Madrid,1,True,90.0,good,"{'subtitle': 'Chueca-Justicia, Madrid', 'title': 'Piso en MARQUES DE LA ENSENADA, 16'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/a7/2e/598665736.jpg,https://www.idealista.com/inmueble/37117160/
"calle Julio Palacios, 37",2,es,{'typology': 'flat'},7450,Fuencarral,True,,1,False,False,True,False,False,40.4833557,-3.6957104,Madrid,La Paz,False,4,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 100.0}",1150.0,9.0,82871849,flat,Madrid,3,True,134.0,good,"{'subtitle': 'La Paz, Madrid', 'title': 'Piso en calle Julio Palacios, 37'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/83/61/606759698.jpg,https://www.idealista.com/inmueble/82871849/
"avenida de la Ciudad de Barcelona, 95",1,es,{'typology': 'flat'},3302,Retiro,True,,3,False,False,True,False,False,40.3999953,-3.6718689,Madrid,Adelfas,False,9,rent,,1075.0,32.0,39052551,flat,Madrid,1,True,34.0,good,"{'subtitle': 'Adelfas, Madrid', 'title': 'Piso en avenida de la Ciudad de Barcelona, 95'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/29/6b/252948974.jpg,https://www.idealista.com/inmueble/39052551/
"calle del Pelicano, 2",1,es,{'typology': 'flat'},4085,Carabanchel,True,,3,False,False,False,False,False,40.3836404,-3.7253391,Madrid,Abrantes,False,5,rent,,725.0,10.0,40512115,flat,Madrid,3,True,70.0,good,"{'subtitle': 'Abrantes, Madrid', 'title': 'Piso en calle del Pelicano, 2'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/6b/c6/618476829.jpg,https://www.idealista.com/inmueble/40512115/
"calle del Príncipe de Vergara, Madrid",2,es,{'typology': 'flat'},2917,Salamanca,True,,7,False,False,True,False,False,40.4334886,-3.6777221,Madrid,Lista,False,27,rent,,1700.0,13.0,83433039,flat,Madrid,3,False,130.0,good,"{'subtitle': 'Lista, Madrid', 'title': 'Piso en calle del Príncipe de Vergara, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/74/a7/617913962.jpg,https://www.idealista.com/inmueble/83433039/
"calle de Rafael Villa, Madrid",3,es,{'typology': 'flat'},11819,Moncloa,True,W-02CVL3,1,False,False,True,True,False,40.4710131,-3.8241963,Madrid,El Plantío,False,27,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1950.0,13.0,83330878,flat,Madrid,4,False,150.0,good,"{'subtitle': 'El Plantío, Madrid', 'title': 'Piso en calle de Rafael Villa, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/04/03/615915574.jpg,https://www.idealista.com/inmueble/83330878/
